sample_id,experiment_date,temperature_c,ph,dose_mg_ml,batch,operator,cell_density,response_value
S001,2025-03-01,38.05,7.69,5.52,batch_C,op_1,0.727,31.168
S002,2025-03-06,36.53,7.46,2.07,batch_B,op_2,1.102,22.244
S003,2025-03-11,,7.36,4.64,batch_C,op_3,1.192,29.833
S004,2025-03-16,36.73,7.05,6.27,batch_C,op_3,1.179,33.016
S005,2025-03-21,37.13,7.42,0.99,batch_C,op_1,1.177,17.479
S006,2025-03-26,35.09,7.0,5.96,batch_A,op_1,0.92,33.851
S007,2025-03-31,36.72,7.1,0.62,batch_C,op_1,1.183,17.271
S008,2025-04-05,35.97,7.5,7.69,batch_B,op_3,1.19,39.754
S009,2025-04-10,38.06,7.48,4.02,batch_C,op_1,1.523,25.925
S010,2025-04-15,36.08,7.32,3.57,batch_C,op_1,1.667,28.416
S011,2025-04-20,37.69,7.04,5.9,batch_A,,1.166,35.198
S012,2025-04-25,38.83,7.28,4.42,batch_B,op_2,1.008,30.943
S013,2025-04-30,36.62,7.23,5.98,batch_B,op_1,1.184,35.044
S014,2025-05-05,36.28,7.46,1.14,batch_B,op_1,1.048,16.188
S015,2025-05-10,37.23,7.76,4.72,batch_C,op_3,1.014,29.819
S016,2025-05-15,37.0,7.39,4.69,batch_B,op_2,1.185,30.273
S017,2025-05-20,35.81,7.21,7.49,batch_C,op_1,0.939,34.101
S018,2025-05-25,,7.14,0.8,batch_C,op_3,1.352,17.756
S019,2025-05-30,39.42,7.34,3.9,batch_A,op_2,1.174,24.956
S020,2025-06-04,36.69,7.32,5.23,batch_B,op_3,1.263,29.983
S021,2025-06-09,36.76,7.14,4.63,batch_B,op_1,1.154,29.097
S022,2025-06-14,35.75,7.37,1.06,batch_B,op_2,1.018,20.547
S023,2025-06-19,37.38,7.14,4.95,batch_A,op_3,0.963,28.866
S024,2025-06-24,35.5,7.55,2.17,batch_A,op_3,1.141,21.28
S025,2025-06-29,35.67,7.54,1.97,batch_B,op_3,1.063,23.526
S026,2025-07-04,38.54,7.55,7.09,batch_A,,1.258,39.933
S027,2025-07-09,35.91,7.26,1.98,batch_B,op_3,1.199,21.296
S028,2025-07-14,38.3,7.44,3.91,batch_A,op_2,0.859,26.021
S029,2025-07-19,38.83,7.33,6.13,batch_A,op_2,1.217,32.587
S030,2025-07-24,37.31,7.28,5.8,batch_B,op_2,0.864,32.273
S031,2025-07-29,37.66,7.29,4.65,batch_B,op_1,1.046,30.858
S032,2025-08-03,39.34,7.12,6.55,batch_C,op_1,1.126,36.084
S033,2025-08-08,36.76,7.09,3.99,batch_B,op_2,0.681,26.969
S034,2025-08-13,36.29,7.49,5.15,batch_B,op_1,1.223,33.487
S035,2025-08-18,35.38,7.32,6.64,batch_A,op_2,1.238,35.071
S036,2025-08-23,37.05,7.39,5.59,batch_B,op_3,1.16,32.736
S037,2025-08-28,38.77,7.53,5.31,batch_C,op_3,1.094,31.983
S038,2025-09-02,38.15,7.04,3.55,batch_B,op_3,1.107,26.794
S039,2025-09-07,35.87,7.21,4.69,batch_A,op_2,0.956,30.95
S040,2025-09-12,,7.38,3.47,batch_B,op_1,1.133,27.128
S041,2025-09-17,36.39,7.42,6.08,batch_C,op_1,1.062,33.4
S042,2025-09-22,37.35,7.28,3.35,batch_C,op_3,1.223,25.821
S043,2025-09-27,36.75,7.54,4.0,batch_A,op_2,0.899,25.011
S044,2025-10-02,37.26,7.39,6.17,batch_C,op_3,1.259,31.606
S045,2025-10-07,37.36,7.13,4.28,batch_C,op_2,1.236,29.409
S046,2025-10-12,36.64,7.18,3.04,batch_B,op_2,1.165,25.036
S047,2025-10-17,36.95,7.49,6.7,batch_B,op_1,1.09,37.016
S048,2025-10-22,37.25,7.43,3.36,batch_A,op_1,1.338,23.147
S049,2025-10-27,36.9,7.01,6.84,batch_A,op_1,0.784,34.742
S050,2025-11-01,37.6,7.59,6.39,batch_C,op_3,1.315,33.754
